"ID";"Sex";"Regions";"Periods";"PopulationOn1January_1"
"23459";"T001038";"GM0518";"2019JJ00";"  537833"
"23519";"T001038";"GM0787";"2019JJ00";""
"23579";"T001038";"GM0666";"2019JJ00";""
"23639";"T001038";"GM0519";"2019JJ00";""
"23699";"T001038";"GM0910";"2019JJ00";""
"23759";"T001038";"GM0016";"2019JJ00";""
"23819";"T001038";"GM1067";"2019JJ00";""
"23879";"T001038";"GM0667";"2019JJ00";""
"23939";"T001038";"GM0240";"2019JJ00";""
"23999";"T001038";"GM0241";"2019JJ00";""
"24059";"T001038";"GM0014";"2019JJ00";"  231299"
"24119";"T001038";"GM0911";"2019JJ00";""
"24179";"T001038";"GM0520";"2019JJ00";""
"24239";"T001038";"GM0391";"2019JJ00";""
"24299";"T001038";"GM0015";"2019JJ00";""
"24359";"T001038";"GM0912";"2019JJ00";""
"24419";"T001038";"GM0913";"2019JJ00";""
"24479";"T001038";"GM1729";"2019JJ00";"   14246"
"24539";"T001038";"GM0242";"2019JJ00";""
"24599";"T001038";"GM0158";"2019JJ00";"   24277"
"24659";"T001038";"GM1068";"2019JJ00";""
"24719";"T001038";"GM0788";"2019JJ00";"   14195"
"24779";"T001038";"GM0392";"2019JJ00";"  161265"
"24839";"T001038";"GM0393";"2019JJ00";""
"24899";"T001038";"GM0394";"2019JJ00";"  154235"
"24959";"T001038";"GM0521";"2019JJ00";""
"25019";"T001038";"GM0914";"2019JJ00";""
"25079";"T001038";"GM0522";"2019JJ00";""
"25139";"T001038";"GM1655";"2019JJ00";"   30194"
"25199";"T001038";"GM0789";"2019JJ00";""
"25259";"T001038";"GM0159";"2019JJ00";""
"25319";"T001038";"GM0790";"2019JJ00";""
"25379";"T001038";"GM0160";"2019JJ00";"   60574"
"25439";"T001038";"GM0243";"2019JJ00";"   47581"
"25499";"T001038";"GM0523";"2019JJ00";"   18051"
"25559";"T001038";"GM0017";"2019JJ00";""
"25619";"T001038";"GM0395";"2019JJ00";""
"25679";"T001038";"GM0072";"2019JJ00";"   15758"
"25739";"T001038";"GM0318";"2019JJ00";""
"25799";"T001038";"GM0073";"2019JJ00";""
"25859";"T001038";"GM0161";"2019JJ00";""
"25919";"T001038";"GM0244";"2019JJ00";"   12173"
"25979";"T001038";"GM0117";"2019JJ00";""
"26039";"T001038";"GM0524";"2019JJ00";""
"26099";"T001038";"GM0245";"2019JJ00";""
"26159";"T001038";"GM1937";"2019JJ00";""
"26219";"T001038";"GM0915";"2019JJ00";""
"26279";"T001038";"GM0396";"2019JJ00";"   39164"
"26339";"T001038";"GM0397";"2019JJ00";"   27286"
"26399";"T001038";"GM0525";"2019JJ00";""
"26459";"T001038";"GM0916";"2019JJ00";""
"26519";"T001038";"GM0669";"2019JJ00";""
"26579";"T001038";"GM0670";"2019JJ00";""
"26639";"T001038";"GM0246";"2019JJ00";"   18546"
"26699";"T001038";"GM0671";"2019JJ00";""
"26759";"T001038";"GM0074";"2019JJ00";"   50257"
"26819";"T001038";"GM0247";"2019JJ00";""
"26879";"T001038";"GM0398";"2019JJ00";"   56742"
"26939";"T001038";"GM0526";"2019JJ00";""
"26999";"T001038";"GM0917";"2019JJ00";"   86832"
"27059";"T001038";"GM0791";"2019JJ00";""
"27119";"T001038";"GM1072";"2019JJ00";""
"27179";"T001038";"GM0792";"2019JJ00";""
"27239";"T001038";"GM0793";"2019JJ00";""
"27299";"T001038";"GM1658";"2019JJ00";"   15964"
"27359";"T001038";"GM0019";"2019JJ00";""
"27419";"T001038";"GM0527";"2019JJ00";""
"27479";"T001038";"GM0399";"2019JJ00";"   23464"
"27539";"T001038";"GM0528";"2019JJ00";""
"27599";"T001038";"GM0672";"2019JJ00";""
"27659";"T001038";"GM0162";"2019JJ00";""
"27719";"T001038";"GM1074";"2019JJ00";""
"27779";"T001038";"GM1075";"2019JJ00";""
"27839";"T001038";"GM0918";"2019JJ00";""
"27899";"T001038";"GM0400";"2019JJ00";"   55604"
"27959";"T001038";"GM0163";"2019JJ00";"   35808"
"28019";"T001038";"GM0530";"2019JJ00";"   40049"
"28079";"T001038";"GM0794";"2019JJ00";"   91524"
"28139";"T001038";"GM0795";"2019JJ00";""
"28199";"T001038";"GM0075";"2019JJ00";""
"28259";"T001038";"GM0531";"2019JJ00";"   30966"
"28319";"T001038";"GM0248";"2019JJ00";""
"28379";"T001038";"GM0164";"2019JJ00";"   80683"
"28439";"T001038";"GM0076";"2019JJ00";""
"28499";"T001038";"GM0401";"2019JJ00";""
"28559";"T001038";"GM1078";"2019JJ00";""
"28619";"T001038";"GM0919";"2019JJ00";""
"28679";"T001038";"GM0796";"2019JJ00";"  154205"
"28739";"T001038";"GM0249";"2019JJ00";""
"28799";"T001038";"GM0250";"2019JJ00";""
"28859";"T001038";"GM0251";"2019JJ00";""
"28919";"T001038";"GM0533";"2019JJ00";""
"28979";"T001038";"GM0252";"2019JJ00";"   16486"
"29039";"T001038";"GM0797";"2019JJ00";"   44135"
"29099";"T001038";"GM0920";"2019JJ00";""
"29159";"T001038";"GM0534";"2019JJ00";"   21966"
"29219";"T001038";"GM0798";"2019JJ00";"   15334"
"29279";"T001038";"GM0402";"2019JJ00";"   90238"
"29339";"T001038";"GM0077";"2019JJ00";""
"29399";"T001038";"GM0673";"2019JJ00";""
"29459";"T001038";"GM0674";"2019JJ00";""
"29519";"T001038";"GM1963";"2019JJ00";"   86656"
"29579";"T001038";"GM0319";"2019JJ00";""
"29639";"T001038";"GM0921";"2019JJ00";""
"29699";"T001038";"GM0253";"2019JJ00";""
"29759";"T001038";"GM0799";"2019JJ00";""
"29819";"T001038";"GM1735";"2019JJ00";"   34940"
"29879";"T001038";"GM1966";"2019JJ00";"   47888"
"29939";"T001038";"GM1911";"2019JJ00";"   47815"
"29999";"T001038";"GM0165";"2019JJ00";""
"30059";"T001038";"GM0675";"2019JJ00";""
"30119";"T001038";"GM0676";"2019JJ00";""
"30179";"T001038";"GM0535";"2019JJ00";""
"30239";"T001038";"GM0801";"2019JJ00";""
"30299";"T001038";"GM0802";"2019JJ00";""
"30359";"T001038";"GM0800";"2019JJ00";""
"30419";"T001038";"GM0118";"2019JJ00";"   55662"
"30479";"T001038";"GM0018";"2019JJ00";""
"30539";"T001038";"GM0403";"2019JJ00";""
"30599";"T001038";"GM1084";"2019JJ00";""
"30659";"T001038";"GM0320";"2019JJ00";""
"30719";"T001038";"GM0404";"2019JJ00";""
"30779";"T001038";"GM0405";"2019JJ00";"   73004"
"30839";"T001038";"GM0536";"2019JJ00";""
"30899";"T001038";"GM0922";"2019JJ00";""
"30959";"T001038";"GM0254";"2019JJ00";""
"31019";"T001038";"GM0923";"2019JJ00";""
"31079";"T001038";"GM1507";"2019JJ00";"   42291"
"31139";"T001038";"GM0321";"2019JJ00";"   49911"
"31199";"T001038";"GM0803";"2019JJ00";""
"31259";"T001038";"GM0255";"2019JJ00";""
"31319";"T001038";"GM0406";"2019JJ00";"   41273"
"31379";"T001038";"GM0924";"2019JJ00";""
"31439";"T001038";"GM0677";"2019JJ00";"   27524"
"31499";"T001038";"GM0256";"2019JJ00";""
"31559";"T001038";"GM0925";"2019JJ00";""
"31619";"T001038";"GM0078";"2019JJ00";""
"31679";"T001038";"GM0102";"2019JJ00";""
"31739";"T001038";"GM0195";"2019JJ00";""
"31799";"T001038";"GM0191";"2019JJ00";""
"31859";"T001038";"GM0353";"2019JJ00";"   34160"
"31919";"T001038";"GM0730";"2019JJ00";""
"31979";"T001038";"GM0407";"2019JJ00";""
"32039";"T001038";"GM0926";"2019JJ00";""
"32099";"T001038";"GM0927";"2019JJ00";""
"32159";"T001038";"GM0645";"2019JJ00";""
"32219";"T001038";"GM0408";"2019JJ00";""
"32279";"T001038";"GM0322";"2019JJ00";""
"32339";"T001038";"GM1884";"2019JJ00";"   26866"
"32399";"T001038";"GM0323";"2019JJ00";""
"32459";"T001038";"GM0166";"2019JJ00";"   53779"
"32519";"T001038";"GM0020";"2019JJ00";""
"32579";"T001038";"GM0678";"2019JJ00";"   12785"
"32639";"T001038";"GM0679";"2019JJ00";""
"32699";"T001038";"GM0537";"2019JJ00";"   65302"
"32759";"T001038";"GM0409";"2019JJ00";""
"32819";"T001038";"GM0538";"2019JJ00";""
"32879";"T001038";"GM0928";"2019JJ00";"   45642"
"32939";"T001038";"GM1095";"2019JJ00";""
"32999";"T001038";"GM0257";"2019JJ00";""
"33059";"T001038";"GM0929";"2019JJ00";""
"33119";"T001038";"GM0258";"2019JJ00";""
"33179";"T001038";"GM0539";"2019JJ00";""
"33239";"T001038";"GM0930";"2019JJ00";""
"33299";"T001038";"GM0680";"2019JJ00";""
"33359";"T001038";"GM0021";"2019JJ00";""
"33419";"T001038";"GM0804";"2019JJ00";""
"33479";"T001038";"GM0324";"2019JJ00";""
"33539";"T001038";"GM0410";"2019JJ00";""
"33599";"T001038";"GM0681";"2019JJ00";""
"33659";"T001038";"GM1598";"2019JJ00";"   22738"
"33719";"T001038";"GM0079";"2019JJ00";""
"33779";"T001038";"GM0411";"2019JJ00";""
"33839";"T001038";"GM0588";"2019JJ00";""
"33899";"T001038";"GM1097";"2019JJ00";""
"33959";"T001038";"GM0682";"2019JJ00";""
"34019";"T001038";"GM0540";"2019JJ00";""
"34079";"T001038";"GM1098";"2019JJ00";""
"34139";"T001038";"GM0684";"2019JJ00";""
"34199";"T001038";"GM0541";"2019JJ00";""
"34259";"T001038";"GM0542";"2019JJ00";"   29376"
"34319";"T001038";"GM1931";"2019JJ00";"   56048"
"34379";"T001038";"GM0413";"2019JJ00";""
"34439";"T001038";"GM0685";"2019JJ00";""
"34499";"T001038";"GM0167";"2019JJ00";""
"34559";"T001038";"GM0414";"2019JJ00";""
"34619";"T001038";"GM1659";"2019JJ00";"   22333"
"34679";"T001038";"GM1685";"2019JJ00";"   15529"
"34739";"T001038";"GM0882";"2019JJ00";"   37591"
"34799";"T001038";"GM0415";"2019JJ00";"   11488"
"34859";"T001038";"GM0325";"2019JJ00";""
"34919";"T001038";"GM1101";"2019JJ00";""
"34979";"T001038";"GM0416";"2019JJ00";"   27992"
"35039";"T001038";"GM0543";"2019JJ00";""
"35099";"T001038";"GM1621";"2019JJ00";"   61601"
